task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ce/8abee3	36315	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_501_1_B)	COMPLETED	0	2024-04-03 09:29:11.110	560ms	41ms	82.8%	1.5 MB	3.9 MB	118.5 KB	927 B
2	7a/43770e	36324	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_501_1_S)	COMPLETED	0	2024-04-03 09:29:11.141	623ms	44ms	77.2%	1.5 MB	3.9 MB	118.5 KB	927 B
7	a8/b63376	36733	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_501_2_B)	COMPLETED	0	2024-04-03 09:29:12.255	835ms	64ms	65.9%	1.5 MB	3.9 MB	118.5 KB	927 B
8	5d/a8d88b	37260	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_501_2_S)	COMPLETED	0	2024-04-03 09:29:13.133	579ms	78ms	60.1%	1.5 MB	3.9 MB	118.5 KB	927 B
13	17/2f90a2	38626	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_501_3_B)	COMPLETED	0	2024-04-03 09:29:14.739	489ms	43ms	65.5%	1.5 MB	3.9 MB	118.5 KB	926 B
6	cf/d38f73	36805	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_501_1_S)	COMPLETED	0	2024-04-03 09:29:12.464	2.9s	2s	375.1%	322.7 MB	1.7 GB	284.2 MB	273.7 MB
3	08/9d403a	36753	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_501_1_B)	COMPLETED	0	2024-04-03 09:29:12.331	3.4s	2s	456.8%	291.7 MB	1.6 GB	401.3 MB	389.4 MB
14	e0/7e8b28	38830	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_501_3_S)	COMPLETED	0	2024-04-03 09:29:15.281	506ms	43ms	67.9%	1.5 MB	3.9 MB	118.5 KB	926 B
15	2c/87b399	39452	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_501_4_B)	COMPLETED	0	2024-04-03 09:29:15.815	455ms	48ms	66.4%	1.5 MB	3.9 MB	118.5 KB	926 B
18	2a/523722	39792	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_501_4_S)	COMPLETED	0	2024-04-03 09:29:16.301	794ms	51ms	59.9%	1.5 MB	3.9 MB	118.4 KB	926 B
5	18/89590b	37104	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_501_1_S)	COMPLETED	0	2024-04-03 09:29:13.028	4.8s	4s	260.6%	303.4 MB	6.5 GB	29.8 MB	5 MB
4	84/a5d11f	37092	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_501_1_B)	COMPLETED	0	2024-04-03 09:29:12.984	4.9s	4s	244.0%	461.2 MB	6.4 GB	39.9 MB	5 MB
24	f9/c7f442	40468	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_DI_BK1A_NA)	COMPLETED	0	2024-04-03 09:29:17.250	750ms	80ms	41.4%	1.5 MB	3.9 MB	118.5 KB	926 B
9	a3/5761af	39383	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_501_2_B)	COMPLETED	0	2024-04-03 09:29:15.725	2.6s	3s	472.6%	325.8 MB	1.7 GB	410 MB	397.8 MB
28	cb/63fd9d	40947	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_DI_BK2B_NA)	COMPLETED	0	2024-04-03 09:29:18.033	550ms	45ms	67.1%	1.5 MB	3.9 MB	118.5 KB	926 B
33	7e/7ae110	42025	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_02_B)	COMPLETED	0	2024-04-03 09:29:19.612	446ms	37ms	59.2%	1.5 MB	3.9 MB	118.5 KB	926 B
12	20/b0309a	40849	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_501_2_S)	COMPLETED	0	2024-04-03 09:29:17.865	2.6s	2s	436.9%	329.8 MB	1.7 GB	348.7 MB	336.9 MB
35	1d/3f1bdd	42560	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_03_B)	COMPLETED	0	2024-04-03 09:29:20.097	517ms	38ms	76.9%	1.5 MB	3.9 MB	118.5 KB	926 B
10	34/6a20d0	38851	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_501_2_B)	COMPLETED	0	2024-04-03 09:29:15.354	5.4s	5s	247.6%	518.2 MB	6.5 GB	41.2 MB	5 MB
38	5e/3b71fc	42941	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_04_B)	COMPLETED	0	2024-04-03 09:29:20.638	562ms	33ms	76.7%	1.5 MB	3.9 MB	118.5 KB	926 B
17	19/6f6b2a	41320	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_501_3_B)	COMPLETED	0	2024-04-03 09:29:18.379	2.9s	3s	425.0%	334.4 MB	1.7 GB	398.7 MB	387.1 MB
11	cd/026df4	40868	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_501_2_S)	COMPLETED	0	2024-04-03 09:29:17.922	4.3s	4s	294.1%	451 MB	6.4 GB	36.2 MB	5.1 MB
44	d0/ae3a66	44160	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_05_B)	COMPLETED	0	2024-04-03 09:29:22.278	458ms	57ms	64.4%	1.5 MB	3.9 MB	118.5 KB	926 B
19	fc/9d026a	43021	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_501_3_S)	COMPLETED	0	2024-04-03 09:29:20.757	2.4s	1s	318.9%	216.3 MB	1.3 GB	180.3 MB	170.4 MB
46	b8/d786cb	44599	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_07_B)	COMPLETED	0	2024-04-03 09:29:22.766	518ms	47ms	76.9%	1.5 MB	3.9 MB	118.5 KB	926 B
22	5e/2a7d5a	44093	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_501_4_B)	COMPLETED	0	2024-04-03 09:29:22.237	2.4s	2s	262.5%	116.4 MB	979.8 MB	163.3 MB	153.8 MB
51	e8/964c03	45529	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_09_B)	COMPLETED	0	2024-04-03 09:29:24.314	522ms	59ms	62.8%	1.5 MB	3.9 MB	118.5 KB	926 B
53	b9/de0cb2	45921	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_11_B)	COMPLETED	0	2024-04-03 09:29:24.880	646ms	65ms	56.2%	1.5 MB	3.9 MB	118.5 KB	926 B
20	a5/ae0a44	43520	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_501_3_S)	COMPLETED	0	2024-04-03 09:29:21.274	4.5s	4s	263.0%	355.1 MB	6.5 GB	24.3 MB	5 MB
16	e9/585d6c	42743	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_501_3_B)	COMPLETED	0	2024-04-03 09:29:20.444	5.5s	5s	275.9%	771.7 MB	6.4 GB	36.1 MB	5 MB
57	0f/3ec990	46408	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_12_B)	COMPLETED	0	2024-04-03 09:29:25.877	613ms	47ms	46.4%	1.5 MB	3.9 MB	118.5 KB	926 B
60	db/2d20c9	47210	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_13_B)	COMPLETED	0	2024-04-03 09:29:26.519	701ms	111ms	29.7%	1.9 MB	6.4 MB	118.5 KB	926 B
26	46/955d2d	45716	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_501_4_S)	COMPLETED	0	2024-04-03 09:29:24.685	2.7s	2s	361.3%	307 MB	1.7 GB	266.5 MB	255.9 MB
23	8e/b90c53	44877	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_501_4_B)	COMPLETED	0	2024-04-03 09:29:23.167	4.4s	4s	264.5%	447.6 MB	6.5 GB	22.7 MB	5 MB
63	18/39a47c	47610	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_14_B)	COMPLETED	0	2024-04-03 09:29:27.296	643ms	81ms	39.0%	1.5 MB	3.9 MB	118.5 KB	926 B
66	1e/17bbb3	48134	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_15_B)	COMPLETED	0	2024-04-03 09:29:27.999	894ms	109ms	46.2%	1.5 MB	3.9 MB	118.5 KB	927 B
27	4e/f805dc	46399	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Aug_501_4_S)	COMPLETED	0	2024-04-03 09:29:25.845	4.6s	4s	268.7%	349.3 MB	6.5 GB	30.7 MB	5 MB
29	e2/b60b80	47833	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_DI_BK1A_NA)	COMPLETED	0	2024-04-03 09:29:27.607	2.9s	2s	418.6%	306.5 MB	1.6 GB	339.4 MB	328.2 MB
72	ce/d02a34	48920	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_16_B)	COMPLETED	0	2024-04-03 09:29:29.961	758ms	94ms	48.6%	1.5 MB	3.9 MB	118.5 KB	927 B
73	f6/d4eb84	49414	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_17_B)	COMPLETED	0	2024-04-03 09:29:30.795	823ms	91ms	50.6%	1.5 MB	3.9 MB	118.5 KB	927 B
76	9e/b7eb00	49873	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_C1_B)	COMPLETED	0	2024-04-03 09:29:31.656	693ms	53ms	58.3%	1.5 MB	3.9 MB	118.5 KB	926 B
80	6d/a4eecc	50441	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_C2_B)	COMPLETED	0	2024-04-03 09:29:32.486	702ms	66ms	51.9%	1.5 MB	3.9 MB	118.5 KB	927 B
32	f1/1b99f6	49258	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Aug_DI_BK2B_NA)	COMPLETED	0	2024-04-03 09:29:30.591	3.1s	3s	434.4%	304.4 MB	1.6 GB	361.7 MB	350.2 MB
81	43/ee7e6d	50754	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (Aug_REV_C3_B)	COMPLETED	0	2024-04-03 09:29:33.260	681ms	75ms	61.4%	1.5 MB	3.9 MB	118.5 KB	927 B
